Date,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,BRK.B,UNH,JNJ,V,PG,JPM,XOM,BAC,PFE,HD,MA,KO,DIS,NFLX
8/4/15,3.47767997713758e-05,-9.22E-05,-0.000184551,0.001530828,-8.48E-05,-5.55E-05,0.000124407,0.001051077,-0.000435741,0.000997024,-0.000314324,0.00089232,-0.000668404,0.000964951,0.000551256,0.001108733,0.000496116,0.000144443,0.001032117,0.002467591
9/2/15,0.000395941,-7.70E-05,0.0001794,0.00154058,-0.000566031,0.000473294,-5.89E-05,0.001110602,-0.000449098,0.001070916,-0.000528721,0.000722792,-0.000484152,0.000515477,0.000361968,0.001101489,0.000679803,-0.000138913,0.000544245,0.002085453
10/2/15,0.000254857,-7.46E-06,0.000273413,0.001864676,-0.000128384,0.00120092,-0.000217066,0.001217247,-0.000452384,0.001144401,-0.000425531,0.000466509,-0.000389429,-1.08E-05,0.000414397,0.000951955,0.000802254,-9.42E-05,0.000675268,0.002304662
11/2/15,0.000204637,0.000277739,0.000695223,0.002474489,-0.00070872,0.001368607,-0.000205944,0.0005939,-0.000379334,0.000632115,-0.000582317,0.000400225,-0.000330407,8.67425622567731e-05,0.000397734,0.000787839,0.000423564,9.6455954424102e-06,0.000780013,0.002713041
12/2/15,2.0105022498229e-05,0.000581619,0.001332598,0.002790323,7.66086612033401e-06,0.001901357,-0.000412064,0.000565354,-0.000246834,0.000751313,-0.000613995,0.000534901,-0.00038558,0.000310231,0.000125082,0.001201162,0.000345991,-3.29E-05,0.000806802,0.003969698
1/4/16,-0.000159516,0.000701333,0.001216559,0.002682778,0.000170435,0.00210256,-0.000406663,0.000537708,-9.95E-05,0.00052232,-0.000477254,0.000552149,-0.000175641,0.000206651,9.64568982181446e-05,0.000997806,0.000419008,0.000178558,0.000447833,0.003536478
2/3/16,-0.000505877,0.001226293,0.001410011,0.001624647,-0.000587346,0.001840768,-0.000391914,0.00039814,0.0003027,0.000780256,-3.19E-05,0.000698349,9.6692899282605e-06,-4.59E-05,8.62603920128846e-06,0.000798587,0.000445896,0.000326602,0.000309103,0.001890271
3/4/16,-0.000467179,0.001044149,0.001074367,0.001858799,0.000566954,0.001890684,-0.000122767,0.000561165,0.000357958,0.000479109,7.59998057353236e-05,0.000266421,0.000118262,-0.000218532,-0.000304896,0.000553982,0.00013456,0.000310627,-2.23E-05,0.002365604
4/5/16,-0.00049032,0.001119117,0.001167536,0.001664454,0.001222298,0.002241899,-4.91E-05,0.00039687,0.000435855,0.000618603,3.74124550580516e-05,0.000178243,0.000219575,-0.000219502,-0.000241796,0.000641257,0.000371254,0.000557936,-0.000260002,0.002526716
5/4/16,-0.000993069,0.000294875,0.001062858,0.001949173,0.000241144,0.002110003,3.77329261977259e-06,0.000747452,0.000582067,0.000653648,0.000140246,6.83321098959274e-05,0.00022682,-0.000274271,9.89183845550356e-05,0.000969992,0.00032635,0.000499219,-0.000142503,0.000894441
6/3/16,-0.001042143,0.000440945,0.00101845,0.002041687,-0.000133786,0.003174219,-6.65E-05,0.000692466,0.000608431,0.000560454,0.000211101,4.97513922797034e-05,0.000368806,-0.000397534,0.00016391,0.000649508,0.000136649,0.000463075,-0.000402066,0.000747272
7/5/16,-0.001103049,0.000516456,0.000817704,0.001931634,-0.000736855,0.003571836,8.19158778679084e-05,0.000584527,0.000867208,0.000252825,0.000232155,-0.000319043,0.000646354,-0.00088342,0.000364855,0.000531409,-0.000303534,0.00059246,-0.000691707,0.000398158
8/3/16,-0.000294788,0.000719713,0.000688001,0.001410752,-0.000416645,0.004147711,-0.00014857,0.00068893,0.000877776,8.43970533266013e-05,0.000504743,-0.000326504,0.000477643,-0.000957308,4.00178472321208e-05,0.000603363,-0.000187391,0.00019287,-0.00096872,-0.000767764
9/1/16,-0.000489406,0.000746038,0.000452016,0.001325926,-0.000964133,0.003888226,4.37984836268593e-05,0.00046342,0.000798828,0.000158015,0.000769099,-0.000280893,0.000384707,-0.00063914,0.000207225,0.000293079,-0.000153555,0.000284974,-0.000660364,-0.000399572
10/3/16,-0.000234497,0.000569386,0.000441787,0.001475437,-0.000869422,0.003677563,-4.31E-06,0.000385092,0.000791026,0.000198043,0.000717568,-0.000152791,0.000325594,-0.000554637,-7.92E-05,8.35458779279827e-05,-6.12E-05,6.19005271047911e-05,-0.000738666,-0.000384059
11/1/16,-0.0001661,0.00059099,0.000364597,0.001070223,-8.79E-05,0.003723597,-1.13E-05,0.00074664,0.000564278,0.000332182,0.000575192,6.9995043645346e-05,-0.00013149,-0.000332463,-0.000313084,-1.74E-05,0.000217663,8.4473848830321e-05,-0.000873608,0.001011196
12/1/16,-1.85E-05,0.000428418,0.000150183,0.000722577,-0.000514342,0.004355186,0.000130697,0.001191815,0.000380267,-0.000167333,0.000389902,-3.91E-05,-9.00E-05,-0.000393702,-0.000110161,-9.70E-05,7.0227139686795e-05,-0.000122102,-0.000756429,0.000211677
1/3/17,0.000438406,0.000460757,0.000324991,0.000829837,9.34480343548982e-05,0.004671202,9.62676702348325e-05,0.001103812,0.000542424,8.8763835084685e-06,0.000305179,-0.000128267,1.3167532338569e-05,-0.000601599,6.69643611466793e-05,-7.11E-05,0.000122963,1.24053561110103e-05,-0.000321312,0.001023291
2/2/17,0.000886336,0.000287986,-4.02E-05,0.001498907,0.001141062,0.005252022,4.25317623339058e-05,0.000907569,0.000286985,-0.000212023,0.000214617,-4.13E-05,-0.00039492,0.000100897,-5.71E-05,-6.15E-05,0.000138004,-0.000295827,-2.28E-05,0.001312459
3/6/17,0.000855799,0.000194682,-1.25E-05,0.001021555,0.000543899,0.004276941,5.52621761695379e-06,0.000792899,0.000430311,1.40337562508886e-05,0.000115277,0.000432351,-0.000615923,0.000836477,0.000212805,0.00016135,0.000156101,-0.000448138,-9.48E-05,0.000901036
4/4/17,0.000842714,0.000239217,-4.49E-06,0.001320627,0.000394629,0.004061422,-0.000163033,0.00062189,0.000428801,-1.05E-05,0.000193987,0.000440573,-0.000542805,0.000773747,7.8131685456895e-05,-5.91E-05,0.000125725,-0.000501354,0.000149081,0.000938511
5/4/17,0.001305325,0.000609505,0.000497703,0.000669099,0.000701662,0.003898313,-0.000170039,0.000665827,0.000171627,1.7457268880329e-05,-4.22E-05,0.000491464,-0.000719641,0.000933617,-0.000382027,6.32766574726499e-05,0.000136294,-0.000398538,-0.000134412,0.001463001
6/5/17,0.001279227,0.000630424,0.000516723,0.000578084,0.001332697,0.00404284,-7.61E-06,0.000679823,0.000240949,4.67741210447022e-05,-1.94E-05,0.00022686,-0.000755471,0.00078303,-0.000654459,0.000205596,0.000383215,-0.000233283,-5.16E-05,0.001254566
7/5/17,0.001212585,0.000584286,0.000414131,0.000482516,0.00130364,0.004019297,-8.81E-05,0.000623628,0.000130366,0.000254448,-0.000120133,0.000852678,-0.001093814,0.001426652,-0.000663695,0.000127776,0.000617484,-0.000328939,-6.40E-05,0.000971898
8/3/17,0.001052045,0.000368052,-4.76E-05,0.000376795,0.001447169,0.004421323,9.58439716536567e-05,0.00073359,5.10621248301569e-05,0.000368779,-6.38E-05,0.000666495,-0.000846705,0.001098584,-0.000574124,-6.57E-05,0.000589902,-0.00012727,0.000210559,0.001913471
